CustomerId,TransactionCount,TotalAmount,AvgAmount,StdAmount,Amount_min,Amount_max,Value_sum,Value_mean,Value_std,TransactionHour_mean,HasFraud,PrimaryChannel,PrimaryCategory,PrimaryPricing,PrimaryCurrency,PrimaryChannel_Encoded,PrimaryCategory_Encoded,PrimaryPricing_Encoded,PrimaryCurrency_Encoded,PrimaryChannel_WoE,PrimaryCategory_WoE,PrimaryPricing_WoE
CustomerId_1,-0.25345907179094945,-0.06689055545071151,-0.15336428770238522,0.0,-10000.0,-10000.0,10000,10000.0,0.0,0.8832837898733554,0,ChannelId_2,airtime,4,UGX,1,0,3,0,0.929436056385569,0.4294477817982869,0.908407244105744
CustomerId_10,-0.25345907179094945,-0.06689055545071151,-0.15336428770238522,0.0,-10000.0,-10000.0,10000,10000.0,0.0,0.8832837898733554,0,ChannelId_2,airtime,4,UGX,1,0,3,0,0.929436056385569,0.4294477817982869,0.908407244105744
CustomerId_1001,-0.21218649360810643,-0.05584872860516775,-0.06987027274809754,6558.963332722634,-5000.0,10000.0,30400,6080.0,4100.2438951847735,-1.2226538757658796,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1002,-0.15027762633384187,-0.06165488922144951,-0.09143504187021956,560.4989660196449,-75.0,1500.0,4775,434.09090909090907,518.8054461058509,0.22955591140441342,0,ChannelId_2,financial_services,2,UGX,1,2,2,0,0.929436056385569,-0.29348339401586754,-0.0016632675654343922
CustomerId_1003,-0.20186834906239567,-0.05584872860516775,-0.07384617822211123,6030.478145774734,-5000.0,10000.0,32000,5333.333333333333,3945.461527713414,0.45524767897107205,0,ChannelId_3,airtime,2,UGX,2,0,2,0,-0.09489375825673708,0.4294477817982869,-0.0016632675654343922
CustomerId_1004,-0.25345907179094945,-0.062473824712494005,-0.08179798917013864,0.0,2000.0,2000.0,2000,2000.0,0.0,1.3969271229560958,0,ChannelId_3,airtime,4,UGX,2,0,3,0,-0.09489375825673708,0.4294477817982869,0.908407244105744
CustomerId_1005,-0.1709139154252634,-0.045248574833445736,-0.06138834107020164,5983.6815126178335,-5000.0,10000.0,61200,6800.0,4106.093033529562,-0.6291104686480465,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1006,-0.25345907179094945,-0.06284188560734547,-0.08776184738115919,0.0,1000.0,1000.0,1000,1000.0,0.0,-1.4281112089989758,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1007,-0.25345907179094945,-0.05290424144635608,0.07326232431639564,0.0,28000.0,28000.0,28000,28000.0,0.0,-1.6849328755403459,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1008,-0.2431409272452387,-0.05584872860516775,-0.03408712348197424,0.0,10000.0,10000.0,20000,10000.0,0.0,0.11281879024924507,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1009,-0.25345907179094945,-0.06302591605477119,-0.09074377648666945,0.0,500.0,500.0,500,500.0,0.0,-1.6849328755403459,0,ChannelId_3,airtime,4,UGX,2,0,3,0,-0.09489375825673708,0.4294477817982869,0.908407244105744
CustomerId_1010,-0.19155020451668492,-0.05351706283628376,-0.071288819022576,4971.798816946486,-1000.0,10000.0,31975,4567.857142857143,4887.057752491828,-0.2907581143157651,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1012,0.49976548004593585,-0.017236932369880623,-0.08365919648804822,3441.4863138083697,-1100.0,22000.0,132894,1795.8648648648648,3385.648564258615,0.893695479057465,0,ChannelId_3,airtime,1,UGX,2,0,1,0,-0.09489375825673708,0.4294477817982869,-0.3596231965204124
CustomerId_1014,-0.18123205997097416,0.2179444098569354,0.47573329568711736,119332.84340149493,1000.0,300000.0,763880,95485.0,119332.84340149493,-0.8823651675985642,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1016,-0.21218649360810643,-0.05584872860516775,-0.06987027274809754,6745.368781616021,-5000.0,10000.0,32000,6400.0,3781.5340802378078,1.3969271229560958,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1020,1.8308061264426234,0.044335606668925054,-0.08514142209479475,2500.4482251946347,-100.0,10000.0,298605,1470.960591133005,2481.912227571705,-0.16677524081303474,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1021,-0.25345907179094945,-0.06136964202793963,-0.06390641453707699,0.0,5000.0,5000.0,5000,5000.0,0.0,1.6537487894974658,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1022,-0.25345907179094945,-0.06063352023823671,-0.051978698115035894,0.0,7000.0,7000.0,7000,7000.0,0.0,0.11281879024924507,0,ChannelId_3,airtime,2,UGX,2,0,2,0,-0.09489375825673708,0.4294477817982869,-0.0016632675654343922
CustomerId_1025,-0.09868690360528809,-0.05687929911075183,-0.08731455801533264,1803.6536992079898,-1000.0,5000.0,19800,1237.5,1688.8852339141738,0.8190783732380129,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1027,-0.1193231926967096,-0.05335695634702337,-0.08232195671296401,3484.2705418482087,-50.0,10000.0,27230,1945.0,3464.629517323272,0.07612998074333518,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1028,-0.25345907179094945,-0.06302591605477119,-0.09074377648666945,0.0,500.0,500.0,500,500.0,0.0,-0.9144678759162355,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1029,-0.1709139154252634,-0.04443884086477253,-0.059930509063063284,8692.669325356856,-5000.0,20000.0,75000,8333.333333333334,9357.48363610645,-0.7432534315553222,0,ChannelId_3,financial_services,2,UGX,2,2,2,0,-0.09489375825673708,-0.29348339401586754,-0.0016632675654343922
CustomerId_1030,-0.18123205997097416,-0.062345003399295995,-0.09197382224269245,713.8614811612364,-1000.0,1000.0,4650,581.25,471.2729721570231,-0.14400287629212505,0,ChannelId_2,airtime,2,UGX,1,0,2,0,0.929436056385569,0.4294477817982869,-0.0016632675654343922
CustomerId_1031,0.25213001094887766,-0.023886762169340894,-0.08098227649946808,4615.395748241059,-5000.0,23000.0,145322,2906.44,4439.862404376505,-0.04127420967557692,0,ChannelId_3,airtime,2,UGX,2,0,2,0,-0.09489375825673708,0.4294477817982869,-0.0016632675654343922
CustomerId_1032,-0.2431409272452387,-0.062473824712494005,-0.08776184738115919,0.0,1000.0,1000.0,2000,1000.0,0.0,-2.9690412082471966,0,ChannelId_3,airtime,2,UGX,2,0,2,0,-0.09489375825673708,0.4294477817982869,-0.0016632675654343922
